Participant,Trial,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std
1,55,93.91593312,6,48.57838004,0,0,0,0,1,1,0,0,1,1,2,4,1,1,1,0,0,0,0
1,56,2.700081784,15,88.50864742,1,1,0,1,1,0,0,0,1,0,3,4,1,1,1,0,1,1,0
1,57,79.31741088,11,28.8354814,0,0,1,0,1,1,0,1,1,0,3,4,1,2,2,0,1,1,0
1,58,93.21564211,12,46.64311346,1,0,0,1,1,1,0,1,0,0,3,4,1,1,1,0,0,0,0
1,59,28.86557952,14,68.99403188,1,1,1,0,1,0,0,1,1,0,3,4,1,2,2,0,0,0,0
1,60,17.8988131,13,83.5086371,0,1,1,0,1,0,0,1,0,1,3,4,1,1,1,0,1,1,0
1,61,22.85250231,1,54.15618944,0,1,1,1,1,0,1,0,0,1,1,1,1,2,2,0,0,0,0
1,62,35.36723904,4,77.31852953,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0
1,63,26.01854187,5,83.76183624,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0
1,64,71.36055909,2,33.85279367,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0
1,65,25.21698136,3,93.36992243,1,0,1,1,1,0,0,0,0,1,1,1,1,2,2,0,0,0,0
1,66,94.03332117,9,28.15186988,0,0,1,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,0
1,67,7.627483539,7,82.91354261,0,0,0,1,1,0,0,0,1,0,2,1,1,1,1,0,1,1,0
1,68,64.69515144,10,17.37459259,0,0,0,0,1,0,1,1,0,1,2,1,1,2,2,0,1,1,0
1,69,82.43291525,6,23.45465694,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,0,1,1,0
1,70,32.60128235,8,62.86824478,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,0,1,1,0
1,71,21.70358833,14,94.75121547,0,1,1,1,0,0,1,0,0,0,3,1,1,2,2,0,0,0,0
1,72,45.83132407,11,56.99807422,1,1,1,0,1,0,0,1,1,1,3,1,1,2,2,0,0,0,0
1,73,43.09718334,15,67.7446616,0,1,1,0,1,0,0,1,1,0,3,1,1,2,2,0,0,0,0
