Participant,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std,TrainTrial
1,82.43291525,6,23.45465694,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,0,1,1,0,55
1,45.83132407,11,56.99807422,1,1,1,0,1,0,0,1,1,1,3,1,1,2,2,0,0,0,0,56
1,85.72269279,12,4.168220491,0,0,0,0,0,1,1,0,0,1,3,1,1,2,2,0,1,1,0,57
1,21.70358833,14,94.75121547,0,1,1,1,0,0,1,0,0,0,3,1,1,1,1,0,1,1,0,58
1,43.09718334,15,67.7446616,0,1,1,0,1,0,0,1,1,0,3,1,1,1,1,0,1,1,0,59
1,47.87817734,13,62.38552933,0,1,0,0,0,0,0,1,1,1,3,1,1,2,2,0,0,0,0,60
1,55.12603252,5,10.47684649,0,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,61
1,2.244380185,3,63.17289679,1,0,1,1,0,0,0,0,0,0,1,4,1,1,1,0,1,1,0,62
1,37.54377018,2,59.70076342,0,0,1,1,1,0,0,1,0,0,1,4,1,1,1,0,1,1,0,63
1,12.63523816,4,58.01481881,1,0,1,1,0,0,0,0,0,0,1,4,1,1,1,0,1,1,0,64
1,4.935450848,1,71.63624837,1,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,1,1,0,65
1,35.38971804,9,78.26394145,1,0,0,0,1,1,0,1,0,0,2,4,1,1,1,0,1,1,0,66
1,81.11380147,7,5.86135243,0,0,1,0,0,1,1,1,0,0,2,4,1,2,2,0,1,1,0,67
1,30.64722162,10,81.19544255,0,0,1,1,1,0,0,0,1,1,2,4,1,1,1,0,1,1,0,68
1,93.91593312,6,48.57838004,0,0,0,0,1,1,0,0,1,1,2,4,1,2,2,0,1,1,0,69
1,0.806916323,8,89.95134852,1,0,1,0,0,0,0,1,0,0,2,4,1,1,1,0,1,1,0,70
1,93.21564211,12,46.64311346,1,0,0,1,1,1,0,1,0,0,3,4,1,1,1,0,0,0,0,71
1,17.8988131,13,83.5086371,0,1,1,0,1,0,0,1,0,1,3,4,1,1,1,0,1,1,0,72
1,2.700081784,15,88.50864742,1,1,0,1,1,0,0,0,1,0,3,4,1,1,1,0,1,1,0,73
1,28.86557952,14,68.99403188,1,1,1,0,1,0,0,1,1,0,3,4,1,1,1,0,1,1,0,74
1,79.31741088,11,28.8354814,0,0,1,0,1,1,0,1,1,0,3,4,1,2,2,0,1,1,0,75
3,55.12603252,5,10.47684649,0,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,1
3,2.244380185,3,63.17289679,1,0,1,1,0,0,0,0,0,0,1,4,1,2,2,0,0,0,0,2
3,12.63523816,4,58.01481881,1,0,1,1,0,0,0,0,0,0,1,4,1,2,2,0,0,0,0,3
3,4.935450848,1,71.63624837,1,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,1,1,0,4
3,37.54377018,2,59.70076342,0,0,1,1,1,0,0,1,0,0,1,4,1,2,2,0,0,0,0,5
3,0.806916323,8,89.95134852,1,0,1,0,0,0,0,1,0,0,2,4,1,2,2,0,0,0,0,6
3,93.91593312,6,48.57838004,0,0,0,0,1,1,0,0,1,1,2,4,1,2,2,0,1,1,0,7
3,81.11380147,7,5.86135243,0,0,1,0,0,1,1,1,0,0,2,4,1,1,1,0,0,0,0,8
3,35.38971804,9,78.26394145,1,0,0,0,1,1,0,1,0,0,2,4,1,1,1,0,1,1,0,9
3,30.64722162,10,81.19544255,0,0,1,1,1,0,0,0,1,1,2,4,1,1,1,0,1,1,0,10
3,17.8988131,13,83.5086371,0,1,1,0,1,0,0,1,0,1,3,4,1,1,1,0,1,1,0,11
3,93.21564211,12,46.64311346,1,0,0,1,1,1,0,1,0,0,3,4,1,1,1,0,0,0,0,12
3,2.700081784,15,88.50864742,1,1,0,1,1,0,0,0,1,0,3,4,1,1,1,0,1,1,0,13
3,79.31741088,11,28.8354814,0,0,1,0,1,1,0,1,1,0,3,4,1,2,2,0,1,1,0,14
3,28.86557952,14,68.99403188,1,1,1,0,1,0,0,1,1,0,3,4,1,1,1,0,1,1,0,15
3,35.36723904,4,77.31852953,1,0,0,0,0,0,1,1,0,1,1,1,1,2,2,0,0,0,0,16
3,26.01854187,5,83.76183624,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,17
